Method,Category,SSIM,SNR,PSNR,RMSE,Threshold,Filter_Sigma,Weighted_Avg
GI,GI,0.5222259653320547,1.1816069696679536,15.354438823440404,0.3414350130052813,,,
Weighted_GI,Weighted GI,0.48432667611043945,1.1356608242250104,15.00995083604679,0.3552486644337871,,,
DGI,DGI,0.5222259653320622,1.181606969667907,15.354438823440063,0.3414350130052948,,,
TCDGI_T9.64_S2.5_W,TCDGI,0.6739904499054818,1.3796845605810408,16.700574030390168,0.29241610914729893,9.6429,2.5,True
